   epsilon         CV     3sigma         HL     Median        box 
         0  0.0002248  0.0002206  0.0002331  0.0002774  0.0003549 
     0.001  0.0002359  0.0002321  0.0002439  0.0002891  0.0003588 
     0.002  0.0002275  0.0002249  0.0002365  0.0002751  0.0003472 
     0.003  0.0002287  0.0002262  0.0002366  0.0002777  0.0003587 
     0.004  0.0003817  0.0002277   0.000242  0.0002829  0.0003599 
     0.005  0.0002331  0.0002273  0.0002386  0.0002811  0.0003566 
     0.006  0.0002862  0.0002303  0.0002413  0.0002816  0.0003606 
     0.007  0.0005318  0.0002224  0.0002361    0.00028  0.0003538 
     0.008  0.0008077  0.0002343  0.0002309  0.0002745   0.000348 
     0.009   0.001028  0.0002634  0.0002414  0.0002797  0.0003533 
      0.01   0.001292  0.0002667  0.0002455  0.0002896  0.0003631 
     0.011   0.001704  0.0002785  0.0002415  0.0002811  0.0003536 
     0.012   0.001385  0.0002794  0.0002368  0.0002792  0.0003576 
     0.013   0.002209  0.0003364  0.0002414  0.0002847  0.0003605 
     0.014     0.0039  0.0003409  0.0002363  0.0002777  0.0003485 
     0.015   0.003103  0.0003642  0.0002427  0.0002881  0.0003611 
     0.016   0.005459  0.0004603  0.0002361   0.000273   0.000342 
     0.017   0.004721  0.0004622  0.0002297  0.0002737   0.000349 
     0.018   0.006995  0.0005964  0.0002383  0.0002778  0.0003408 
     0.019   0.008199   0.000593  0.0002421  0.0002779  0.0003427 
      0.02    0.01141  0.0007362  0.0002323  0.0002723  0.0003395 
     0.021    0.01176  0.0006694  0.0002422  0.0002818  0.0003565 
     0.022    0.01344  0.0009419  0.0002437  0.0002864  0.0003542 
     0.023    0.01601   0.001106  0.0002404  0.0002836  0.0003481 
     0.024    0.01711    0.00113   0.000241  0.0002819  0.0003588 
     0.025    0.02226   0.001218  0.0002336  0.0002753  0.0003387 
     0.026    0.02702   0.001488  0.0002312  0.0002703  0.0003345 
     0.027    0.03167   0.001733  0.0002425   0.000286   0.000359 
     0.028    0.02904   0.001745   0.000241  0.0002894  0.0003532 
     0.029    0.03553   0.001815   0.000236  0.0002744  0.0003471 
